customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Female,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),44.16,2568.67,No
CUST-00002,Male,0,No,Yes,33,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,47.02,1567.69,Yes
CUST-00003,Male,1,Yes,Yes,50,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),45.28,2238.36,Yes
CUST-00004,Female,0,Yes,No,69,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),37.2,2572.51,Yes
CUST-00005,Female,0,No,No,4,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),32.49,99.08,Yes
CUST-00006,Male,0,No,Yes,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,54.63,404.3,No
CUST-00007,Female,1,No,No,66,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),38.76,2540.77,Yes
CUST-00008,Male,1,No,No,41,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,61.65,2530.93,Yes
CUST-00009,Female,0,No,No,44,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,43.13,1925.18,Yes
CUST-00010,Female,0,No,No,25,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,36.34,879.02,No
CUST-00011,Male,0,No,Yes,59,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),32.35,1914.18,No
CUST-00012,Male,0,No,Yes,46,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,38.77,1799.63,No
CUST-00013,Male,0,Yes,Yes,19,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),45.79,850.41,No
CUST-00014,Male,0,No,No,47,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.88,2171.53,Yes
CUST-00015,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),43.59,-8.27,Yes
CUST-00016,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.44,1123.78,Yes
CUST-00017,Male,0,No,No,15,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,37.85,610.13,Yes
CUST-00018,Female,0,No,No,56,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,23.48,1225.51,No
CUST-00019,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.39,2869.08,Yes
CUST-00020,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,43.78,309.24,No
CUST-00021,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.58,3297.46,Yes
CUST-00022,Female,0,Yes,No,59,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),22.58,1343.5,No
CUST-00023,Female,0,Yes,No,31,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),31.87,979.1,No
CUST-00024,Male,0,Yes,Yes,16,Yes,No,No,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),42.76,668.96,No
CUST-00025,Male,1,Yes,No,30,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),25.94,744.27,No
CUST-00026,Male,0,Yes,Yes,42,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,24.04,1071.55,Yes
CUST-00027,Female,1,No,No,45,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),21.04,977.56,No
CUST-00028,Male,1,No,Yes,25,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),49.25,1242.96,No
CUST-00029,Male,0,Yes,No,8,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,52.71,418.86,No
CUST-00030,Female,0,Yes,Yes,44,Yes,No,No,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),24.39,1049.26,No
CUST-00031,Female,0,Yes,Yes,51,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),45.98,2342.98,Yes
CUST-00032,Female,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),38.44,691.69,Yes
CUST-00033,Female,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),35.76,1699.77,Yes
CUST-00034,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,55.33,2233.31,No
CUST-00035,Male,1,Yes,Yes,36,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,38.17,1324.09,No
CUST-00036,Female,0,No,No,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,44.58,163.57,No
CUST-00037,Male,0,Yes,Yes,22,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,20.15,437.59,Yes
CUST-00038,Male,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),38.36,1001.07,Yes
CUST-00039,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,29.13,1778.44,No
CUST-00040,Male,0,Yes,No,59,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,39.49,2276.51,Yes
CUST-00041,Female,0,No,No,63,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,47.95,2993.09,Yes
CUST-00042,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,61.66,2066.86,Yes
CUST-00043,Male,0,No,Yes,24,No,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),43.75,1135.75,No
CUST-00044,Female,0,No,No,36,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),33.53,1248.05,No
CUST-00045,Female,0,No,No,57,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,39.52,2281.71,Yes
CUST-00046,Male,0,Yes,No,45,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),41.82,1937.7,Yes
CUST-00047,Female,1,No,No,43,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),34.63,1477.69,No
CUST-00048,Male,0,Yes,Yes,31,Yes,No,No,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),36.87,1084.39,Yes
CUST-00049,Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,47.51,2347.51,Yes
CUST-00050,Male,0,Yes,No,62,Yes,Yes,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,62.22,3912.62,Yes
CUST-00051,Male,0,No,No,48,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,52.68,2481.17,Yes
CUST-00052,Female,0,No,No,29,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),45.78,1322.01,No
CUST-00053,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,35.39,2125.25,No
CUST-00054,Female,1,Yes,No,67,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),32.44,2190.47,No
CUST-00055,Female,0,No,No,57,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,41.31,2378.94,No
CUST-00056,Female,0,No,No,63,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),40.42,2572.63,No
CUST-00057,Male,0,Yes,Yes,19,No,No,No,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),37.25,826.28,Yes
CUST-00058,Female,0,Yes,Yes,30,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,38.63,1189.7,Yes
CUST-00059,Male,0,No,No,18,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),30.51,607.16,Yes
CUST-00060,Male,0,No,Yes,26,No,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,37.94,988.95,No
CUST-00061,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,36.88,2034.76,Yes
CUST-00062,Male,0,Yes,No,49,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),43.68,2109.37,No
CUST-00063,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.43,91.42,Yes
CUST-00064,Male,0,Yes,No,54,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),39.68,2138.78,No
CUST-00065,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,44.32,660.26,Yes
CUST-00066,Female,0,No,Yes,14,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24.85,370.18,No
CUST-00067,Male,0,Yes,No,39,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,32.26,1309.81,Yes
CUST-00068,Female,0,No,No,18,Yes,No,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,44.09,814.13,Yes
CUST-00069,Female,0,No,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,33.03,2277.43,No
CUST-00070,Female,1,No,No,11,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),40.7,488.3,No
CUST-00071,Male,0,No,No,11,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,39.09,397.4,Yes
CUST-00072,Female,0,No,No,55,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,30.81,1624.04,Yes
CUST-00073,Female,0,Yes,No,21,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,40.26,757.98,Yes
CUST-00074,Female,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,43.96,2315.02,No
CUST-00075,Male,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,43.16,2125.51,Yes
CUST-00076,Female,0,No,No,14,No,Yes,No,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),23.52,348.82,No
CUST-00077,Female,0,No,No,42,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,33.98,1413.41,No
CUST-00078,Female,1,Yes,No,39,Yes,No,No,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.45,2058.68,No
CUST-00079,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,51.59,333.24,Yes
CUST-00080,Male,1,Yes,No,55,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,48.96,2692.32,Yes
CUST-00081,Male,0,Yes,Yes,61,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.97,2976.49,No
CUST-00082,Female,0,No,Yes,68,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,30.97,2031.04,No
CUST-00083,Female,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),45.19,264.35,Yes
CUST-00084,Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,55.72,690.66,Yes
CUST-00085,Male,0,No,No,59,No,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),18.0,1117.07,No
CUST-00086,Male,0,Yes,No,22,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,33.09,829.64,No
CUST-00087,Female,0,Yes,Yes,45,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,33.51,1554.08,Yes
CUST-00088,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,38.65,839.27,Yes
CUST-00089,Male,0,No,No,16,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,38.44,686.09,Yes
CUST-00090,Male,0,Yes,No,45,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),22.74,1008.2,No
CUST-00091,Female,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),40.13,539.62,Yes
CUST-00092,Male,1,No,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),66.47,741.11,Yes
CUST-00093,Male,0,No,No,38,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,34.55,1296.96,No
CUST-00094,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,42.84,561.5,Yes
CUST-00095,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),43.18,583.2,Yes
CUST-00096,Female,1,No,No,56,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),34.46,1916.94,No
CUST-00097,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,42.83,1652.13,Yes
CUST-00098,Male,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,52.02,2037.33,No
CUST-00099,Male,1,Yes,No,11,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),32.39,330.64,Yes
CUST-00100,Female,1,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,56.74,603.21,No
CUST-00101,Male,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,67.65,1863.02,Yes
CUST-00102,Female,0,No,No,28,No,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),32.93,932.1,No
CUST-00103,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,48.04,1556.24,Yes
CUST-00104,Female,0,No,Yes,10,No,No,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.73,563.18,No
CUST-00105,Male,0,No,Yes,64,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),53.12,3400.01,Yes
CUST-00106,Male,0,No,No,26,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),50.48,1358.41,Yes
CUST-00107,Male,0,No,No,58,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,48.47,2822.76,Yes
CUST-00108,Male,0,Yes,No,29,Yes,Yes,No,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,37.95,1135.66,Yes
